Year,Name,Apps,Assists,Goals,Mot M,Rank,Rating
2015,Koke,34,14,5,2,10,7
2015,Casemiro,17,3,1,1,19,7
2015,Shkodran Mustafi,30,0,2,4,17,7
2016,Lionel Messi,32,9,37,16,2,8
2016,Cristiano Ronaldo,29,6,25,4,5,8
2016,Luis Suárez,34,13,29,4,3,8
2016,Diego Godín,30,1,3,1,17,7
2016,Gareth Bale,17,2,7,3,7,7
2016,Neymar,30,11,13,9,1,9
2016,Filipe Luís,34,6,3,6,6,8
2016,Antoine Griezmann,36,8,16,4,8,7
2016,Toni Kroos,28,12,3,3,4,8
2016,Bruno Soriano,33,2,5,0,14,7
2016,James Rodríguez,13,6,8,2,12,7
2016,Saúl Ñíguez,29,3,4,4,11,7
2016,Luka Modric,22,2,1,2,18,7
2016,Gerard Moreno,37,4,13,6,16,7
2016,Asier Illarramendi,33,2,1,6,9,7
2016,Isco,18,8,10,5,15,7
2016,Ignacio Camacho,35,2,4,2,13,7
2016,Yeray Álvarez,25,0,0,1,20,7
2016,Daniel Carvajal,21,4,0,0,19,7
2016,Dani Ceballos,24,2,2,3,10,7
2017,Lionel Messi,32,12,34,22,1,9
2017,Cristiano Ronaldo,27,5,26,7,2,8
2017,Luis Suárez,32,12,25,5,3,8
2017,Gareth Bale,20,2,16,6,6,7
2017,Filipe Luís,19,2,1,2,9,7
2017,Antoine Griezmann,30,9,19,8,13,7
2017,Toni Kroos,26,7,5,0,8,7
2017,Sergio Busquets,30,4,1,0,16,7
2017,Saúl Ñíguez,35,3,2,2,12,7
2017,Luka Modric,23,6,1,0,15,7
2017,Gerard Moreno,38,1,16,8,14,7
2017,Daniel Parejo,34,7,7,7,10,7
2017,Asier Illarramendi,35,5,7,6,20,7
2017,Casemiro,30,3,5,1,5,7
2017,Iago Aspas,33,5,22,11,7,7
2017,Jordi Alba,30,8,2,2,18,7
2017,Geoffrey Kondogbia,30,4,4,4,11,7
2017,Sergi Roberto,24,7,1,0,19,7
2017,Lucas Hernández,24,1,0,1,17,7
2017,Coutinho,16,5,8,2,4,8
